"","value","L1"
"A1BG","A1BG",1
"ABCA1","ABCA1",1
"ACAD11","ACAD11",1
"ACOT13","ACOT13",1
"ACOX1","ACOX1",1
"ACTR1A","ACTR1A",1
"ACVR2A","ACVR2A",1
"ADAM22","ADAM22",1
"ADCY5","ADCY5",1
"ADSS","ADSS",1
"AGK","AGK",1
"AIRE","AIRE",1
"AKIRIN2","AKIRIN2",1
"AMN1","AMN1",1
"ANAPC11","ANAPC11",1
"ANKRD6","ANKRD6",1
"ANXA4","ANXA4",1
"ANXA9","ANXA9",1
"AP2A1","AP2A1",1
"AP3D1","AP3D1",1
"APBB1IP","APBB1IP",1
"ARAF","ARAF",1
"ARHGAP4","ARHGAP4",1
"ARHGEF3","ARHGEF3",1
"ARID1A","ARID1A",1
"ARL13B","ARL13B",1
"ARL6IP5","ARL6IP5",1
"ARMC5","ARMC5",1
"ASAP2","ASAP2",1
"ASCC2","ASCC2",1
"ASIC3","ASIC3",1
"ATL1","ATL1",1
"ATXN7L3","ATXN7L3",1
"ATXN7L3B","ATXN7L3B",1
"BACE1","BACE1",1
"BBIP1","BBIP1",1
"BCL10","BCL10",1
"BCL7C","BCL7C",1
"BLOC1S6","BLOC1S6",1
"BMP8B","BMP8B",1
"BRE-AS1","BRE-AS1",1
"BRI3","BRI3",1
"BTBD1","BTBD1",1
"C10orf55","C10orf55",1
"C14orf182","C14orf182",1
"C19orf44","C19orf44",1
"C19orf66","C19orf66",1
"C1RL","C1RL",1
"C1orf192","C1orf192",1
"C21orf140","C21orf140",1
"C6orf62","C6orf62",1
"CACYBP","CACYBP",1
"CALHM2","CALHM2",1
"CAPZA1","CAPZA1",1
"CASKIN2","CASKIN2",1
"CBFB","CBFB",1
"CBY3","CBY3",1
"CCDC101","CCDC101",1
"CCDC117","CCDC117",1
"CCDC38","CCDC38",1
"CCDC39","CCDC39",1
"CCDC66","CCDC66",1
"CCDC69","CCDC69",1
"CCDC88A","CCDC88A",1
"CCNE2","CCNE2",1
"CCNG1","CCNG1",1
"CCT6P1","CCT6P1",1
"CD74","CD74",1
"CD97","CD97",1
"CDKL1","CDKL1",1
"CDKN2C","CDKN2C",1
"CELF2","CELF2",1
"CELF3","CELF3",1
"CEP290","CEP290",1
"CHMP2A","CHMP2A",1
"CHRM5","CHRM5",1
"CIPC","CIPC",1
"CLCN2","CLCN2",1
"CLK3","CLK3",1
"CLMP","CLMP",1
"CLTC","CLTC",1
"CMPK2","CMPK2",1
"CNOT2","CNOT2",1
"CNPY2","CNPY2",1
"COG8","COG8",1
"COPS3","COPS3",1
"CPSF4","CPSF4",1
"CPSF4L","CPSF4L",1
"CPT2","CPT2",1
"CRBN","CRBN",1
"CSRNP2","CSRNP2",1
"CTC-338M12.4","CTC-338M12.4",1
"CTDSPL2","CTDSPL2",1
"CYFIP2","CYFIP2",1
"CYP3A4","CYP3A4",1
"DBNL","DBNL",1
"DDOST","DDOST",1
"DGUOK","DGUOK",1
"DHRS4L2","DHRS4L2",1
"DHX16","DHX16",1
"DIS3L","DIS3L",1
"DNAAF1","DNAAF1",1
"DNAJC21","DNAJC21",1
"DNAJC7","DNAJC7",1
"DNM1L","DNM1L",1
"DOCK3","DOCK3",1
"DPH3P1","DPH3P1",1
"EIF1B-AS1","EIF1B-AS1",1
"EIF2AK3","EIF2AK3",1
"EIF2B4","EIF2B4",1
"EIF4E3","EIF4E3",1
"EMC6","EMC6",1
"EMC9","EMC9",1
"ENO1","ENO1",1
"ERBB2","ERBB2",1
"FAHD2CP","FAHD2CP",1
"FAM134A","FAM134A",1
"FAM149B1","FAM149B1",1
"FAM166A","FAM166A",1
"FAM177A1","FAM177A1",1
"FAM200B","FAM200B",1
"FAM227B","FAM227B",1
"FAM78A","FAM78A",1
"FAM92A1","FAM92A1",1
"FBXL19","FBXL19",1
"FBXO11","FBXO11",1
"FBXO41","FBXO41",1
"FLJ30403","FLJ30403",1
"FMR1","FMR1",1
"FNBP1","FNBP1",1
"FNDC3A","FNDC3A",1
