COHORT SUBJ
1 AA003
1 AA115
1 AA328
1 AA341
1 AA343
1 AA418
1 AA465
1 AA580
1 AA695
1 AB074
1 AB256
1 AB735
1 AC583
1 AC752
1 AC760
1 AC815
1 AC965
1 AD051
1 AD074
1 AD168
1 AD310
1 AD366
1 AD421
1 AD687
1 AD878
1 AD883
1 AD921
1 AD945
1 AD946
1 AD974
1 AE337
1 AE350
1 AE387
1 AE794
1 AE861
1 AE946
1 AF047
1 AF051
1 AF279
1 AF355
2 AA296
2 AA513
2 AA581
2 AB052
2 AB739
2 AC610
2 AC640
2 AC705
2 AC788
2 AD246
2 AD316
2 AD665
2 AD812
2 AE087
2 AE097
2 AE151
2 AE176
2 AE211
2 AE396
2 AE402
2 AE579
2 AE646
2 AE733
2 AE760
2 AF259
2 AF338
2 AF356
2 AF374
2 AF389
2 AF443
2 AF517
2 AF537
2 AF626
2 AF711
2 AF720
2 AF787
2 AF800
2 AG024
2 AG053
2 AH506
3 AA101
3 AF394
3 AG245
3 AG335
3 AG365
3 AG499
3 AG599
3 AG908
3 AH139
3 AH299
3 AH307
3 AH324
3 AH335
3 AH355
3 AH372
3 AH408
3 AH430
3 AH589
3 AH768
3 AH807
3 AH904
3 AI211
3 AI270
3 AI506
3 AI521
3 AI888
3 AJ537
3 AJ597
3 AJ650
3 AJ858
3 AK022
3 AK102
3 AK159
3 AK197
3 AK259
3 AK263
3 AK683
3 AK688
3 AL019
3 AL233
4 AA365
4 AF978
4 AG036
4 AG120
4 AG449
4 AG559
4 AG954
4 AH072
4 AH639
4 AH645
4 AH687
4 AH740
4 AH794
4 AH956
4 AI224
4 AI404
4 AI520
4 AI557
4 AI720
4 AJ996
4 AK595
4 AK811
4 AL584
4 AL650
4 AL698
4 AL745
4 AL808
4 AL816
4 AL981
4 AM308
4 AM560
4 AM894
4 AN293
4 AN330
4 AN382
4 AN466
4 AN736
4 AO427
4 AO507
